BP,DHD,Dtrc7,Atrc7,Drec7,lat,lon
0.0106,36.81,0,0,0,28.175,-94.275
0.0328,49.4,0,0,0,28.175,-94.275
0.0816,49.4,0,0,0,28.175,-94.275
0.0171,29.49,0,0,0,28.175,-94.275
0.0298,33.73,0,0,0,28.175,-94.275
0.3,42.32999,0,0,0,17.775,-64.775
0.13,42.06,0,0,0,17.775,-64.825
0.2,42.84,0,0,0,17.775,-64.675
0.24,42.26,0,0,0,17.725,-64.575
0.44,40.59,0,0,0,17.725,-64.875
0.7313,46.56,0,0,0,18.325,-64.825
0.06,43.68,0,0,0,18.325,-64.975
0.125,36.58,0,0,0,17.775,-64.825
0.9,44.78,0,0,0,17.775,-64.625
0.5904,49.16,0,0,0,18.325,-64.775
0.164,48.09,0,0,0,17.725,-64.875
0.05,51.7,0,0,0,17.625,-64.875
0.6885,51.21,0,0,0,18.325,-64.825
0.3083,51.3,0,0,0,18.375,-65.025
0.7,52.08,0,0,0,18.375,-64.925
0.565,50.64,0,0,0,18.275,-64.875
0.0833,51.01,0,0,0,18.325,-64.975
0.2833,50.37,0,0,0,18.175,-64.975
0.075,50.71,0,0,0,18.225,-65.025
0.56,51.01,0,0,0,18.325,-64.975
0.6929,51.17,0,0,0,18.325,-65.075
0.8182,50.26,0,0,0,18.175,-65.075
0.2392,50.64,0,0,0,18.275,-64.875
0.075,42.56,0,0,0,17.775,-64.675
0.2,41.72,0,0,0,17.775,-64.625
0.1944,44.13,0,0,0,17.725,-64.875
0.1,42.88,0,0,0,17.775,-64.775
0.0875,43.5,0,0,0,17.775,-64.825
0.5857,46.02,0,0,0,18.275,-64.875
0.05,42.42,0,0,0,17.725,-64.575
0.1,42.58,0,0,0,17.725,-64.675
0.3861,46.02,0,0,0,18.275,-64.875
0.3115,47.80999,0,0,18,18.225,-65.025
0.5129,49.49,0,0,41,18.175,-64.975
0.4455,44.24,0,0,0,18.325,-64.975
0.02,47.37,0,0,0,17.625,-64.875
0.8,45.08,0,0,0,18.325,-64.825
0.2167,44.61,0,0,0,18.325,-64.775
0.8531,44.46,0,0,23,18.325,-65.075
0.77,44.61,0,0,0,18.325,-64.775
0.4974,43.74,0,0,0,18.375,-65.025
0.055,42.56,0,0,0,17.775,-64.675
0.364,51.87,0,0,0,24.575,-81.425
0.7,51.13,0,0,0,24.575,-81.375
0.0423,45.03,0,0,0,24.525,-81.425
0.375,49.78,0,0,0,24.575,-81.325
0.396,49.78,0,0,0,24.575,-81.325
0,28.39,0,0,14,26.725,-80.025
0,28.39,0,0,14,26.725,-80.025
0,28.39,0,0,14,26.725,-80.025
0.177,41.06,0,0,14,25.425,-80.125
0.0784,32.51,0,0,14,25.775,-80.075
0.22,31.33,0,0,0,25.825,-80.075
0.2667,32.51,0,0,14,25.775,-80.075
0.29,39.06,0,0,14,25.375,-80.125
0.34,39.06,0,0,14,25.575,-80.075
0.633,37.68,0,0,14,25.625,-80.075
0.694,44.1,0,0,14,25.375,-80.175
0.717,42.5,0,0,14,25.475,-80.125
0.8,39.06,0,0,14,25.375,-80.125
0.125,30.87,0,0,0,25.875,-80.075
0,29.36,0,0,0,26.175,-80.075
0.0323,30.18,0,0,0,25.925,-80.075
0.0357,31.33,0,0,0,25.825,-80.075
0.0444,35.83,0,0,14,25.675,-80.075
0.0488,30.27,0,0,0,26.325,-80.075
0.0667,29.82,0,0,0,26.225,-80.075
0.1,30.27,0,0,0,26.325,-80.075
0.2,29.36,0,0,0,26.175,-80.075
0.2162,34.35,0,0,14,25.725,-80.075
0.2692,29.25,0,0,0,25.925,-80.125
0.2857,31.33,0,0,0,25.825,-80.075
0.292,29.72,0,0,0,25.875,-80.125
0.333,29.8,0,0,0,26.275,-80.075
0.5,35.83,0,0,14,25.675,-80.075
0.232,52.37,0,0,20,24.475,-81.875
0.292,52.86,0,0,20,24.475,-81.975
0.5,52.37,0,0,20,24.475,-81.875
0.619,55.08,0,0,14,24.625,-81.175
0.667,49.32,0,0,14,24.625,-81.075
0.1429,29.57,0,0,0,26.125,-80.075
0,29.36,0,0,0,26.175,-80.075
0.0667,41.06,0,0,14,25.425,-80.125
